*,シリーズ,鋼種,key,H,B,t,R,A,W,Ix,ix,Zx,Zpx,235,295,325,385,440
_,500x500,BCP,□-500x500x22,500,500,22,77,395.7,311,145000,19.1,5800,6920,FA,,FA,FA,FA
_,500x500,BCP,□-500x500x25,500,500,25,87.5,442.8,348,159000,18.9,6360,7660,FA,,FA,FA,FA
_,500x500,BCP,□-500x500x28,500,500,28,98,488.3,383,172000,18.8,6870,8360,FA,,FA,FA,FA
_,500x500,BCP,□-500x500x32,500,500,32,112,546.3,429,187000,18.5,7470,9210,FA,,FA,FA,FA
_,500x500,BCP,□-500x500x36,500,500,36,126,601.4,472,200000,18.2,7990,9970,FA,,FA,FA,FA
_,500x500,BCP,□-500x500x40,500,500,40,140,653.6,513,210000,17.9,8420,10700,,,FA,FA,FA
*,550x550,BCP,□-550x550x12,550,550,12,42,250.8,197,119000,21.8,4330,5010,FC,,FD,,
_,550x550,BCP,□-550x550x16,550,550,16,56,328.6,258,153000,21.5,5550,6480,FB,,FC,,
_,550x550,BCP,□-550x550x19,550,550,19,66.5,385,302,176000,21.4,6390,7530,FA,,FB,FC,FC
_,550x550,BCP,□-550x550x22,550,550,22,77,439.7,345,197000,21.2,7180,8520,FA,,FA,FA,FB
_,550x550,BCP,□-550x550x25,550,550,25,87.5,492.8,387,217000,21,7900,9460,FA,,FA,FA,FA
_,550x550,BCP,□-550x550x28,550,550,28,98,544.3,427,236000,20.8,8570,10300,FA,,FA,FA,FA
_,550x550,BCP,□-550x550x32,550,550,32,112,610.3,479,258000,20.6,9380,11400,FA,,FA,FA,FA
_,550x550,BCP,□-550x550x36,550,550,36,126,673.4,529,277000,20.3,10100,12400,FA,,FA,FA,FA
_,550x550,BCP,□-550x550x40,550,550,40,140,733.6,576,294000,20,10700,13400,FA,,FA,FA,FA
*,600x600,BCP,□-600x600x12,600,600,12,42,274.8,216,156000,23.8,5200,6000,FD,,FD,,
_,600x600,BCP,□-600x600x16,600,600,16,56,360.6,283,201000,23.6,6690,7790,FC,,FC,,
_,600x600,BCP,□-600x600x19,600,600,19,66.5,423,332,232000,23.4,7730,9070,FA,,FC,FC,FC
_,600x600,BCP,□-600x600x22,600,600,22,77,483.7,380,261000,23.2,8710,10300,FA,,FA,FB,FC
_,600x600,BCP,□-600x600x25,600,600,25,87.5,542.8,426,288000,23.1,9620,11400,FA,,FA,FA,FA
_,600x600,BCP,□-600x600x28,600,600,28,98,600.3,471,314000,22.9,10500,12500,FA,,FA,FA,FA
_,600x600,BCP,□-600x600x32,600,600,32,112,674.3,529,345000,22.6,11500,13900,FA,,FA,FA,FA
_,600x600,BCP,□-600x600x36,600,600,36,126,745.4,585,372000,22.4,12400,15200,FA,,FA,FA,FA
_,600x600,BCP,□-600x600x40,600,600,40,140,813.6,639,397000,22.1,13200,16400,FA,,FA,FA,FA
_,600x600,BCP,□-600x600x45,600,600,45,157.5,894.7,702,423000,21.7,14100,17700,,,,FA,FA
_,650x650,BCP,□-650x650x16,650,650,16,56,392.6,308,258000,25.6,7940,9220,FC,,FC,,
